file,Tag,Episodes,Alpha,Gamma,Epsilon,Final_IQM,Final_CV
sweep_alpha_training_a0.4_g0.2_e0.2_ep40000.csv,sweep_alpha,40000,0.4,0.2,0.2,39.38111200000001,0.3013370740931403
sweep_epsilon_training_a0.8_g0.2_e0.3_ep20000.csv,sweep_epsilon,20000,0.8,0.2,0.3,39.38111200000001,0.06314011842525176
sweep_epsilon_training_a0.8_g0.2_e0.2_ep20000.csv,sweep_epsilon,20000,0.8,0.2,0.2,39.38111200000001,0.023858238087164724
sweep_alpha_training_a0.8_g0.2_e0.2_ep40000.csv,sweep_alpha,40000,0.8,0.2,0.2,39.381112,0.0
sweep_gamma_training_a0.8_g0_e0.2_ep20000.csv,sweep_gamma,20000,0.8,0.0,0.2,39.381112,0.0
sweep_epsilon_training_a0.8_g0.2_e0_ep20000.csv,sweep_epsilon,20000,0.8,0.2,0.0,39.381112,0.05372910234630343
sweep_epsilon_training_a0.8_g0.2_e0.1_ep20000.csv,sweep_epsilon,20000,0.8,0.2,0.1,39.381112,0.5280335788202547
sweep_gamma_training_a0.8_g0.4_e0.2_ep20000.csv,sweep_gamma,20000,0.8,0.4,0.2,39.356899966666674,0.21719625628230393
sweep_epsilon_training_a0.8_g0.2_e0.05_ep20000.csv,sweep_epsilon,20000,0.8,0.2,0.05,39.35436316666667,1.1574993049077253
sweep_alpha_training_a0.2_g0.2_e0.2_ep40000.csv,sweep_alpha,40000,0.2,0.2,0.2,39.33490541935485,1.3571941935162652
sweep_gamma_training_a0.8_g0.5_e0.2_ep20000.csv,sweep_gamma,20000,0.8,0.5,0.2,39.32178721212121,1.6316007938413586
sweep_alpha_training_a0.1_g0.2_e0.2_ep40000.csv,sweep_alpha,40000,0.1,0.2,0.2,38.59268761904762,4.171948500033868
